TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM01249	KASH	0.0018732608995207	-6.28007457022847	4	2	0.0117647058823529	170	9480	23224,23345	SYNE2,SYNE1
SM00724	TLC	0.00320190788300757	-5.74400843340121	17	3	0.0176470588235294	170	9480	204219,91012,253782	CERS3,CERS5,CERS6
SM00668	CTLH	0.0105946004617795	-4.54741079804564	9	2	0.0117647058823529	170	9480	55234,57610	SMU1,RANBP10
SM00150	SPEC	0.014705253637093	-4.2195504587677	29	3	0.0176470588235294	170	9480	23224,23345,23263	SYNE2,SYNE1,MCF2L
SM00998	ADSL_C	0.017932489451917	-4.02114115817426	1	1	0.00588235294117647	170	9480	158	ADSL
SM01133	DeoC	0.017932489451917	-4.02114115817426	1	1	0.00588235294117647	170	9480	51071	DERA
SM00114	CARD	0.0187506636519473	-3.97652613242157	12	2	0.0117647058823529	170	9480	8738,842	CRADD,CASP9
SM00115	CASc	0.0219017713272503	-3.82118776290765	13	2	0.0117647058823529	170	9480	842,841	CASP9,CASP8
SM00647	IBR	0.0252548922866946	-3.67873538810014	14	2	0.0117647058823529	170	9480	5071,54476	PARK2,RNF216
SM01319	Tankyrase_bdg_C	0.0355452626110433	-3.33694839149904	2	1	0.00588235294117647	170	9480	85456	TNKS1BP1
SM01415	DUF106	0.0355452626110433	-3.33694839149904	2	1	0.00588235294117647	170	9480	54499	TMCO1
SM00417	H4	0.0355452626110433	-3.33694839149904	2	1	0.00588235294117647	170	9480	8370	HIST2H4A
SM00951	QLQ	0.0355452626110433	-3.33694839149904	2	1	0.00588235294117647	170	9480	6597	SMARCA4
SM01314	SnAC	0.0355452626110433	-3.33694839149904	2	1	0.00588235294117647	170	9480	6597	SMARCA4
SM00297	BROMO	0.0390484290872546	-3.24295263174494	42	3	0.0176470588235294	170	9480	6597,8019,54014	SMARCA4,BRD3,BRWD1
SM00356	ZnF_C3H1	0.0490500802584874	-3.01491345671344	46	3	0.0176470588235294	170	9480	55796,79882,9877	MBNL3,ZC3H14,ZC3H11A
SM01260	LANC_like	0.0528439865372471	-2.94041135673014	3	1	0.00588235294117647	170	9480	347404	LANCL3
SM01051	CAMSAP_CKK	0.0528439865372471	-2.94041135673014	3	1	0.00588235294117647	170	9480	157922	CAMSAP1
SM00803	TAF	0.0528439865372471	-2.94041135673014	3	1	0.00588235294117647	170	9480	8370	HIST2H4A
SM00240	FHA	0.0632475372597341	-2.76069908873755	23	2	0.0117647058823529	170	9480	55743,221937	CHFR,FOXK1
SM00573	HSA	0.069834228417039	-2.66163101094243	4	1	0.00588235294117647	170	9480	6597	SMARCA4
SM00392	PROF	0.069834228417039	-2.66163101094243	4	1	0.00588235294117647	170	9480	5217	PFN2
SM01178	DUF4217	0.069834228417039	-2.66163101094243	4	1	0.00588235294117647	170	9480	1662	DDX10
SM00476	DNaseIc	0.069834228417039	-2.66163101094243	4	1	0.00588235294117647	170	9480	1773	DNASE1
SM00028	TPR	0.0759741256932684	-2.5773624480669	126	5	0.0294117647058824	170	9480	89953,444,164832,9652,27031	KLC4,ASPH,LONRF2,TTC37,NPHP3
SM00516	SEC14	0.078490736703177	-2.54477466493795	26	2	0.0117647058823529	170	9480	134829,23263	CLVS2,MCF2L
SM01196	FERM_C	0.0838034213969418	-2.47928144420175	27	2	0.0117647058823529	170	9480	5784,4478	PTPN14,MSN
SM00458	RICIN	0.0838034213969418	-2.47928144420175	27	2	0.0117647058823529	170	9480	100528030,8693	POC1B-GALNT4,GALNT4
SM00266	CAD	0.0865214573279636	-2.44736283421154	5	1	0.00588235294117647	170	9480	1677	DFFB
SM01408	ING	0.0865214573279636	-2.44736283421154	5	1	0.00588235294117647	170	9480	3621	ING1
SM00570	AWS	0.0865214573279636	-2.44736283421154	5	1	0.00588235294117647	170	9480	29072	SETD2
SM00404	PTPc_motif	0.0925364405149841	-2.38015276052894	60	3	0.0176470588235294	170	9480	8556,11122,5784	CDC14A,PTPRT,PTPN14
SM00225	BTB	0.0947090980418088	-2.35694521115756	175	6	0.0352941176470588	170	9480	22836,22903,360023,54442,53339,23510	RHOBTB3,BTBD3,ZBTB41,KCTD5,BTBD1,KCTD2
SM00558	JmjC	0.0947421788574516	-2.35659598346672	29	2	0.0117647058823529	170	9480	22992,55662	KDM2A,HIF1AN
SM00233	PH	0.0989479657219043	-2.31316116579164	262	8	0.0470588235294118	170	9480	23229,113026,84249,55701,23164,23263,26030,84725	ARHGEF9,PLCD3,PSD2,ARHGEF40,MPRIP,MCF2L,PLEKHG3,PLEKHA8
SM00552	ADEAMc	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	104	ADARB1
SM00021	DAX	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	1856	DVL2
SM00441	FF	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	394	ARHGAP5
SM00464	LON	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	164832	LONRF2
SM00665	B561	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	220002	CYB561A3
SM01137	DMAP_binding	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	84572	GNPTG
SM00757	CRA	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	57610	RANBP10
SM00592	BRK	0.102911045958392	-2.27389029536894	6	1	0.00588235294117647	170	9480	6597	SMARCA4
SM00033	CH	0.114739625429446	-2.16508984432964	66	3	0.0176470588235294	170	9480	29780,23224,23345	PARVB,SYNE2,SYNE1
SM00848	Inhibitor_I29	0.119008272282899	-2.12856227330432	7	1	0.00588235294117647	170	9480	1521	CTSW
SM00031	DED	0.119008272282899	-2.12856227330432	7	1	0.00588235294117647	170	9480	841	CASP8
SM00467	GS	0.119008272282899	-2.12856227330432	7	1	0.00588235294117647	170	9480	657	BMPR1A
SM00259	ZnF_A20	0.119008272282899	-2.12856227330432	7	1	0.00588235294117647	170	9480	60685	ZFAND3
SM00325	RhoGEF	0.122550418970131	-2.09923275024494	68	3	0.0176470588235294	170	9480	23263,26030,23229	MCF2L,PLEKHG3,ARHGEF9
SM00281	LamB	0.134818321231446	-2.00382717555956	8	1	0.00588235294117647	170	9480	3918	LAMC2
SM00504	Ubox	0.134818321231446	-2.00382717555956	8	1	0.00588235294117647	170	9480	22888	UBOX5
SM00330	PIPKc	0.134818321231446	-2.00382717555956	8	1	0.00588235294117647	170	9480	8396	PIP4K2B
SM00154	ZnF_AN1	0.134818321231446	-2.00382717555956	8	1	0.00588235294117647	170	9480	60685	ZFAND3
SM00948	Proteasome_A_N	0.134818321231446	-2.00382717555956	8	1	0.00588235294117647	170	9480	5683	PSMA2
SM00577	CPDc	0.134818321231446	-2.00382717555956	8	1	0.00588235294117647	170	9480	10217	CTDSPL
SM00194	PTPc	0.135777023505351	-1.99674127180015	36	2	0.0117647058823529	170	9480	5784,11122	PTPN14,PTPRT
SM00184	RING	0.140187363842228	-1.96477543795691	240	7	0.0411764705882353	170	9480	27246,164832,9169,57630,55743,5828,55128	RNF115,LONRF2,SCAF11,SH3RF1,CHFR,PEX2,TRIM68
SM00561	MBT	0.150346286328877	-1.8948140700264	9	1	0.00588235294117647	170	9480	57713	SFMBT2
SM00503	SynN	0.150346286328877	-1.8948140700264	9	1	0.00588235294117647	170	9480	8417	STX7
SM00274	FOLN	0.150346286328877	-1.8948140700264	9	1	0.00588235294117647	170	9480	6678	SPARC
SM00350	MCM	0.150346286328877	-1.8948140700264	9	1	0.00588235294117647	170	9480	84515	MCM8
SM01025	BEN	0.150346286328877	-1.8948140700264	9	1	0.00588235294117647	170	9480	222389	BEND7
SM00355	ZnF_C2H2	0.160430341274887	-1.82989544137036	730	17	0.1	170	9480	146540,54811,163049,360023,10520,7652,8609,11179,58499,22806,169841,84671,84905,27300,53335,284443,400713	ZNF785,ZNF562,ZNF791,ZBTB41,ZNF211,ZNF99,KLF7,ZNF277,ZNF462,IKZF3,ZNF169,ZNF347,ZNF341,ZNF544,BCL11A,ZNF493,ZNF880
SM00462	PTB	0.160702852614981	-1.82819825521401	40	2	0.0117647058823529	170	9480	26119,54869	LDLRAP1,EPS8L1
SM00128	IPPc	0.165597171274171	-1.79819711885458	10	1	0.00588235294117647	170	9480	3635	INPP5D
SM00220	S_TKc	0.175062260396205	-1.74261359463848	349	9	0.0529411764705882	170	9480	984,818,51776,6792,5592,283455,1456,5261,657	CDK11B,CAMK2G,MAP3K20,CDKL5,PRKG1,KSR2,CSNK1G3,PHKG2,BMPR1A
SM00038	COLFI	0.180575891532731	-1.71160413786937	11	1	0.00588235294117647	170	9480	1290	COL5A2
SM00232	JAB_MPN	0.180575891532731	-1.71160413786937	11	1	0.00588235294117647	170	9480	10617	STAMBP
SM00349	KRAB	0.191567703544899	-1.65251398952775	357	9	0.0529411764705882	170	9480	400713,10520,27300,7652,169841,54811,84671,163049,146540	ZNF880,ZNF211,ZNF544,ZNF99,ZNF169,ZNF562,ZNF347,ZNF791,ZNF785
SM01100	CRAL_TRIO_N	0.195287275889572	-1.63328359483706	12	1	0.00588235294117647	170	9480	134829	CLVS2
SM00614	ZnF_BED	0.195287275889572	-1.63328359483706	12	1	0.00588235294117647	170	9480	100381270	ZBED6
SM00454	SAM	0.195596245595013	-1.63170271586516	85	3	0.0176470588235294	170	9480	8500,57713,51776	PPFIA1,SFMBT2,MAP3K20
SM00479	EXOIII	0.209736067933075	-1.56190535809082	13	1	0.00588235294117647	170	9480	81691	LOC81691
SM00508	PostSET	0.209736067933075	-1.56190535809082	13	1	0.00588235294117647	170	9480	29072	SETD2
SM00645	Pept_C1	0.209736067933075	-1.56190535809082	13	1	0.00588235294117647	170	9480	1521	CTSW
SM00234	START	0.209736067933075	-1.56190535809082	13	1	0.00588235294117647	170	9480	9754	STARD8
SM00339	FH	0.212575392783597	-1.54845856397073	48	2	0.0117647058823529	170	9480	221937,116113	FOXK1,FOXP4
SM00249	PHD	0.214129195768248	-1.5411757275818	89	3	0.0176470588235294	170	9480	23338,3621,22992	JADE2,ING1,KDM2A
SM00164	TBC	0.225808562229436	-1.48806770845744	50	2	0.0117647058823529	170	9480	129049,9098	SGSM1,USP6
SM00295	B41	0.232448666322104	-1.45908586834489	51	2	0.0117647058823529	170	9480	5784,4478	PTPN14,MSN
SM00149	PLCYc	0.237864432601166	-1.43605437852006	15	1	0.00588235294117647	170	9480	113026	PLCD3
SM00501	BRIGHT	0.237864432601166	-1.43605437852006	15	1	0.00588235294117647	170	9480	51742	ARID4B
SM00563	PlsC	0.251553079870722	-1.38010125854702	16	1	0.00588235294117647	170	9480	137964	GPAT4
SM00829	PKS_ER	0.251553079870722	-1.38010125854702	16	1	0.00588235294117647	170	9480	57687	VAT1L
SM00702	P4Hc	0.251553079870722	-1.38010125854702	16	1	0.00588235294117647	170	9480	112399	EGLN3
SM00222	Sec7	0.251553079870722	-1.38010125854702	16	1	0.00588235294117647	170	9480	84249	PSD2
SM00013	LRRNT	0.252431613727193	-1.3766149036736	54	2	0.0117647058823529	170	9480	23768,5549	FLRT2,PRELP
SM00744	RINGv	0.264997287022673	-1.32803569069861	17	1	0.00588235294117647	170	9480	10299	MARCH6
SM00137	MAM	0.264997287022673	-1.32803569069861	17	1	0.00588235294117647	170	9480	11122	PTPRT
SM00044	CYCc	0.264997287022673	-1.32803569069861	17	1	0.00588235294117647	170	9480	112	ADCY6
SM00358	DSRM	0.264997287022673	-1.32803569069861	17	1	0.00588235294117647	170	9480	104	ADARB1
SM00211	TY	0.264997287022673	-1.32803569069861	17	1	0.00588235294117647	170	9480	7038	TG
SM00148	PLCXc	0.278201393669941	-1.27940998990814	18	1	0.00588235294117647	170	9480	113026	PLCD3
SM00014	acidPPc	0.278201393669941	-1.27940998990814	18	1	0.00588235294117647	170	9480	57818	G6PC2
SM00261	FU	0.278201393669941	-1.27940998990814	18	1	0.00588235294117647	170	9480	3480	IGF1R
SM00631	Zn_pept	0.278201393669941	-1.27940998990814	18	1	0.00588235294117647	170	9480	51200	CPA4
SM00593	RUN	0.278201393669941	-1.27940998990814	18	1	0.00588235294117647	170	9480	129049	SGSM1
SM00875	BACK	0.285802250277371	-1.25245513990865	59	2	0.0117647058823529	170	9480	22903,53339	BTBD3,BTBD1
SM00367	LRR_CC	0.291169662856473	-1.23384914783781	19	1	0.00588235294117647	170	9480	22992	KDM2A
