TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr18|18 B3	mouse chr18|18 B3	2.9562173365681e-07	-15.0341851267023	86	27	0.0101161483701761	2669	24173	67180,93700,93701,93699,93717,93702,93709,93713,93722,93712,106952,93889,93714,93724,93708,93715,93711,93890,93705,93707,93723,93710,93704,93703,24074,93716,93876	Yipf5,Pcdhgb2,Pcdhgb4,Pcdhgb1,Pcdhga9,Pcdhgb5,Pcdhga1,Pcdhga5,Pcdhga10,Pcdhga4,Arap3,Pcdhb18,Pcdhga6,Pcdhga12,Pcdhgc5,Pcdhga7,Pcdhga3,Pcdhb19,Pcdhgb8,Pcdhgc4,Pcdhga11,Pcdhga2,Pcdhgb7,Pcdhgb6,Taf7,Pcdhga8,Pcdhb5
mouse chr1|1	mouse chr1|1	0.000745068684054897	-7.20203415047198	946	136	0.0509554140127389	2669	24173	227094,29819,70675,433375,71592,108812,329178,94332,18000,368204,271639,208727,67921,57751,319651,66967,14545,227449,77300,76187,226866,73844,329252,263764,320492,16182,20479,329251,213006,226525,75345,226352,20643,245860,433278,56695,77065,98396,211383,70829,213452,381338,68724,227333,226744,66882,66385,213464,69660,226971,68507,241113,320705,70729,19070,68187,271711,277328,240753,26987,70750,22099,170771,100534273,98682,226304,381270,226982,269198,329260,226527,636808,70676,109019,69399,18187,320011,16510,18845,16589,170829,19243,20353,68944,64659,211798,57439,215193,214855,67769,210417,16174,67949,68736,26361,226432,66615,329324,22145,13244,72585,94227,227334,214469,51810,208718,227394,70454,258484,258712,75619,107895,320119,14270,68421,20725,89867,226422,226591,347722,240697,211660,497097,72949,15463,320982,545389,12021,57750,246229,67534,241075,227195,259041,30935,258711	Nemp2,Stau2,Vcpip1,Creg1,Pogk,Flacc1,Unc80,Cadm3,Sept2,Khdc1a,Adcy10,Hdac4,Ube2f,Rnf25,Usp37,Edem3,Gdap1,Zcchc2,Raph1,Adhfe1,Sbspon,Ankrd45,Lgr6,Creg2,A830018L16Rik,Il18r1,Vps4b,Ppp1r12b,Mfsd4a,Rasal2,Slamf7,Epb41l5,Snrpe,Atg9a,Khdc1c,Pnkd,Ints7,Slc41a1,Amer3,Ccdc93,Dstyk,Lonrf2,Arl8a,Dgkd,Cnst,Bzw1,Ppp1r7,Rbbp5,Tmbim1,Plekhb2,Ppfia4,Prkag3,Bend6,Nos1ap,Mob4,Fam135a,Tmem169,Trpa1,Plekha6,Eif4e2,Kdsr,Tsn,Khdrbs2,Fer1l5,Mfsd6,Npbwr1,March4,Eif5b,Nbeal1,Dennd1b,Cryzl2,Cntnap5a,Gulp1,Nabp1,1700025G04Rik,Nrp2,Uggt1,Kcnh1,Plxna2,Uhmk1,Tram2,Ptp4a1,Sema4c,Tmco1,Mrps14,Mfsd9,Tmem183a,Utp25,Arid5a,Gpatch2,Thsd7b,Il18rap,Nifk,Tyw5,Avpr1b,Ipo9,Atg4b,Syt14,Tuba4a,Degs1,Lypd1,Pi15,Usp40,Fam168b,Hnrnpu,Dis3l2,Slco4c1,Cenpl,Olfr1410,Olfr433,Fastkd2,Mgat5,Rps6kc1,Srgap2,Lmbrd1,Serpinb8,Sec16b,Rab29,Tiprl,Agap1,Mcmdc2,Cspp1,Xkr4,Ccnt2,Agfg1,Arl4c,Cep170,Bard1,Wdr12,Bivm,Ttll4,Plekhm3,Ino80d,Olfr1414,Tor3a,Olfr432
mouse chr3|3 G1	mouse chr3|3 G1	0.00174685400174217	-6.34993882216265	54	14	0.00524541026601723	2669	24173	99887,69608,22239,77559,214459,56195,229780,99586,242202,75769,64580,118449,58193,99526	Tmem56,Sec24d,Ugt8a,Agl,Fnbp1l,Ptbp2,Trmt13,Dpyd,Pde5a,Plppr5,Ndst4,Synpo2,Extl2,Usp53
mouse chr8|8 B3.3	mouse chr8|8 B3.3	0.00197940456892416	-6.22495920226743	104	22	0.00824278756088423	2669	24173	234378,234404,114479,76478,326618,258335,234395,93898,319555,382018,234407,26558,80720,211134,13859,382056,66522,234371,209488,236193,270066,14559	Klhl26,Nxnl1,Slc5a5,Haus8,Tpm4,Olfr374,Ushbp1,Cers1,Nwd1,Unc13a,Colgalt1,Homer3,Pbx4,Lzts1,Eps15l1,Crtc1,Pgpep1,Tmem161a,Hsh2d,Zfp709,Slc35e1,Gdf1
mouse chr5|5 F	mouse chr5|5 F	0.00344346947817678	-5.67127574662363	227	39	0.0146122143124766	2669	24173	231600,22307,53890,68420,231713,208908,22241,75560,69587,231633,69663,269702,68184,209683,72399,333050,71772,68666,66593,67151,207565,67956,77045,72650,74096,381667,384221,106840,71990,56455,117109,76199,231672,12123,67848,68955,76792,231724,545798	Chfr,Vmn2r10,Sart3,Ankrd13a,Naa25,Ccdc62,Ulk1,Ep400,Pcgf3,Tmem119,Ddx51,Mphosph9,Denr,Ttc28,Brap,Ksr2,Plbd2,Svop,Diablo,Psmd9,Camkk2,Kmt5a,Bcl7a,2810006K23Rik,Hvcn1,Lrcol1,Vmn2r17,Unc119b,Ddx54,Dynll1,Pop5,Med13l,Fbxw8,Hrk,Ddx55,Srrm4,2410131K14Rik,Rad9b,Tmem233
mouse chr12|12	mouse chr12|12	0.00419722067879004	-5.47333271588668	573	84	0.0314724615961034	2669	24173	78801,67039,74521,20474,72338,26932,238331,13116,77219,399558,382571,27260,238037,19088,70059,100039315,56217,217558,100101806,76826,217666,56220,71375,80837,74413,320817,19042,627191,27362,67732,80913,56784,108800,328133,208846,24067,22367,69709,77480,268595,112407,56444,104859,211151,217835,104721,104732,66912,79221,193322,217692,20773,100039087,75627,74691,170721,66689,69480,94040,320244,66204,217935,72258,75302,20476,171210,217718,70846,108089,668212,217684,328162,23876,214663,75847,665155,18080,13371,217480,72658,69195,105000,217946,238257	Ak7,Rbm25,Ppp4r4,Six4,Wdr89,Ppp2r5e,Zdhhc22,Cyp46a1,Ptgr2,Flrt2,Kcnf1,Plek2,Wdcp,Prkar2b,Degs2,Gm10436,Mpp5,G2e3,Srp54c,Nubpl,L2hgdh,Zfp386,Foxn3,Rhoj,Tc2n,Atad2b,Ppm1a,Syndig1l,Dnajb9,Iah1,Pum2,Ralgapa1,Ston2,Slc39a9,Daam1,Srp54a,Vrk1,Ptrhd1,Kidins220,D430019H16Rik,Egln3,Actr10,Tecpr2,Churc1,Rin3,Ddx1,Tedc1,Bzw2,Hdac9,Oog1,Sipa1l1,Sptlc2,Gm2042,Snapc1,Tdrd9,Papln,Klhl28,Ttc9,Clmn,Ttll5,Acyp1,Wdr60,Kcnk10,Asxl2,Six6,Acot2,Nek9,Ttc6,Rnf144a,Efr3b,Susd6,Trmt61a,Fbln5,Slc25a29,Crppa,Srp54b,Nin,Dio2,Dgkb,2700097O09Rik,Tmem121,Dnal1,Cdca7l,Tmem30b
mouse chr4|4 D2.1	mouse chr4|4 D2.1	0.00500617970357503	-5.29708218897902	48	12	0.00449606594230049	2669	24173	258708,20441,258852,53418,230676,230700,69216,258265,258159,75180,194237,100470	Olfr1342,St3gal3,Olfr1341,B4galt2,Szt2,Foxj3,Svbp,Olfr1333,Olfr1331,Tmem269,Rimkla,Lao1
mouse chr5|5 E3	mouse chr5|5 E3	0.00758915230130504	-4.88103538006954	17	6	0.00224803297115024	2669	24173	94061,140780,55985,97243,622894,231474	Mrpl1,Bmp2k,Cxcl13,Naa11,Gm6367,Paqr3
mouse chr17|17 A3.2	mouse chr17|17 A3.2	0.00980375564262675	-4.62498973787956	52	12	0.00449606594230049	2669	24173	665525,51792,433070,627743,627132,637021,224572,627367,224582,627111,171231,627805	Vmn1r224,Ppp2r1a,Vmn2r96,Vmn2r105,Vmn2r93,Vmn2r124,Vmn2r102,Vmn2r97,Vmn2r110,Vmn2r92,Vmn1r230,Vmn2r108
mouse chr1|1 A2	mouse chr1|1 A2	0.00981989617675583	-4.62334472930344	13	5	0.00187336080929187	2669	24173	70675,240697,211660,76187,320492	Vcpip1,Mcmdc2,Cspp1,Adhfe1,A830018L16Rik
mouse chr2|2 A2	mouse chr2|2 A2	0.011320132476678	-4.48117250338883	5	3	0.00112401648557512	2669	24173	74455,625286,75869	Nsun6,Tmem236,Arl5b
mouse chr3|3 F2.2	mouse chr3|3 F2.2	0.0118457912179576	-4.4357826459697	66	14	0.00524541026601723	2669	24173	433638,329727,14547,80281,140917,68183,329731,381463,17156,70560,74645,100503311,229672,66641	I830077J02Rik,Dennd2c,Gdap2,Cttnbp2nl,Dclre1b,Bcas2,Tafa3,Nr1h5,Man1a2,Wars2,Tent5c,Pifo,Bcl2l15,Sike1
mouse chr1 H6|1 95.03 cM	mouse chr1 H6|1 95.03 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	108000,19250	Cenpf,Ptpn14
mouse chrX D|X 47.36 cM	mouse chrX D|X 47.36 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	18655,11977	Pgk1,Atp7a
mouse chr5 E5|5 50.45 cM	mouse chr5 E5|5 50.45 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	246293,17355	Klhl8,Aff1
mouse chr5 B1|5 17.33 cM	mouse chr5 B1|5 17.33 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	14284,22612	Fosl2,Yes1
mouse chr3 F2.2|3 45.88 cM	mouse chr3 F2.2|3 45.88 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	22414,12340	Wnt2b,Capza1
mouse chr1 G3|1 67.71 cM	mouse chr1 G3|1 67.71 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	11352,20652	Abl2,Soat1
mouse chr7 F3|7 76.32 cM	mouse chr7 F3|7 76.32 cM	0.0121868442672053	-4.40739824782213	2	2	0.000749344323716748	2669	24173	360216,13017	Zranb1,Ctbp2
