TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR011333	SKP1/BTB/POZ	2.31714502689901e-05	-10.6725896289458	186	51	0.017794836008374	2866	18428	54800,26137,6921,64410,51479,56062,23119,65987,23099,3104,6500,653121,11275,3090,360023,114781,54442,3745,93107,89857,253980,22903,83892,54793,143879,138151,53339,3749,166348,59349,9880,10773,100128927,55643,115207,3746,8216,728116,79047,79842,255877,55213,3750,22836,3787,7597,9903,65986,23510,3788,57528	KLHL24,ZBTB20,ELOC,KLHL25,ANKFY1,KLHL4,HIC2,KCTD14,ZBTB43,ZBTB48,SKP1,ZBTB8A,KLHL2,HIC1,ZBTB41,BTBD9,KCTD5,KCNB1,KCNG4,KLHL6,KCTD13,BTBD3,KCTD10,KCTD9,KBTBD3,NACC2,BTBD1,KCNC4,KBTBD12,KLHL12,ZBTB39,ZBTB6,ZBTB42,BTBD2,KCTD12,KCNC1,LZTR1,ZBTB8B,KCTD15,ZBTB3,BCL6B,RCBTB1,KCND1,RHOBTB3,KCNS1,ZBTB25,KLHL21,ZBTB10,KCTD2,KCNS2,KCTD16
IPR000210	BTB/POZ_dom	7.29048377250122e-05	-9.52635556004018	179	48	0.0167480809490579	2866	18428	79842,55213,255877,79047,3787,7597,22836,3750,65986,9903,3788,57528,23510,9880,59349,3746,115207,55643,10773,100128927,728116,8216,54442,114781,253980,3745,89857,22903,166348,3749,138151,53339,143879,83892,54793,64410,26137,54800,65987,23119,51479,56062,3090,653121,11275,3104,23099,360023	ZBTB3,RCBTB1,BCL6B,KCTD15,KCNS1,ZBTB25,RHOBTB3,KCND1,ZBTB10,KLHL21,KCNS2,KCTD16,KCTD2,ZBTB39,KLHL12,KCNC1,KCTD12,BTBD2,ZBTB6,ZBTB42,ZBTB8B,LZTR1,KCTD5,BTBD9,KCTD13,KCNB1,KLHL6,BTBD3,KBTBD12,KCNC4,NACC2,BTBD1,KBTBD3,KCTD10,KCTD9,KLHL25,ZBTB20,KLHL24,KCTD14,HIC2,ANKFY1,KLHL4,HIC1,ZBTB8A,KLHL2,ZBTB48,ZBTB43,ZBTB41
IPR002219	PE/DAG-bd	0.000158575967970223	-8.7492767862837	64	22	0.00767620376831821	2866	18428	23526,54849,160851,1607,1608,5582,118987,25780,8476,23371,5584,5579,83593,283455,8526,8527,23025,6093,673,4650,9475,5578	ARHGAP45,DEF8,DGKH,DGKB,DGKG,PRKCG,PDZD8,RASGRP3,CDC42BPA,TNS2,PRKCI,PRKCB,RASSF5,KSR2,DGKE,DGKD,UNC13A,ROCK1,BRAF,MYO9B,ROCK2,PRKCA
IPR011993	PH_dom-like	0.000160594339362212	-8.73662900388343	423	94	0.0327983251919051	2866	18428	144717,5902,9267,1130,9651,50618,116986,84725,987,113026,57669,9855,5170,5784,55616,9462,57731,23365,54869,54545,11078,547,114876,50807,1894,55701,23362,160851,9910,114881,3667,26119,23035,157,199786,29,26030,440073,8853,25970,8439,9846,8498,84249,25759,23001,23637,79981,7145,5330,27237,6452,23164,10818,23263,6654,23095,66036,23370,64097,129880,79674,164684,5774,23229,23550,6093,25977,9475,53358,10087,84443,5747,1785,50649,131583,8476,5338,6645,51196,23371,8527,65977,23542,6305,5334,84632,64855,9459,57636,4478,116985,8874,9639	FAM109A,RANBP1,CYTH1,LYST,PLCH2,ITSN2,AGAP2,PLEKHA8,LRBA,PLCD3,EPB41L5,FARP2,PDPK1,PTPN14,ASAP3,RASAL2,SPTBN4,ARHGEF12,EPS8L1,MTMR12,TRIOBP,KIF1A,OSBPL1A,ASAP1,ECT2,ARHGEF40,PSD3,DGKH,RABGAP1L,OSBPL7,IRS1,LDLRAP1,PHLPP2,GRK3,FAM129C,ABR,PLEKHG3,IQSEC3,ASAP2,SH2B1,NSMAF,GAB2,RANBP3,PSD2,SHC2,WDFY3,RABGAP1,FRMD1,TNS1,PLCB2,ARHGEF16,SH3BP2,MPRIP,FRS2,MCF2L,SOS1,KIF1B,MTMR9,ARHGEF18,EPB41L4A,BBS5,VEPH1,WBP2NL,PTPN3,ARHGEF9,PSD4,ROCK1,NECAP1,ROCK2,SHC3,COL4A3BP,FRMPD3,PTK2,DNM2,ARHGEF4,FAM43A,CDC42BPA,PLD2,SNTB2,PLCE1,TNS2,DGKD,PLEKHA3,MAPK8IP2,SBF1,PLCL1,AFAP1L2,FAM129B,ARHGEF6,ARHGAP23,MSN,ARAP1,ARHGEF7,ARHGEF10
IPR032472	ArgoL2	0.000584014689965086	-7.4455844214026	4	4	0.00139567341242149	2866	18428	26523,192670,27161,192669	AGO1,AGO4,AGO2,AGO3
IPR032474	Argonaute_N	0.000584014689965086	-7.4455844214026	4	4	0.00139567341242149	2866	18428	192670,26523,27161,192669	AGO4,AGO1,AGO2,AGO3
IPR032473	Argonaute_Mid_dom	0.000584014689965086	-7.4455844214026	4	4	0.00139567341242149	2866	18428	192670,26523,192669,27161	AGO4,AGO1,AGO3,AGO2
IPR015943	WD40/YVTN_repeat-like_dom	0.00207377009442194	-6.17838702661051	334	72	0.0251221214235869	2866	18428	55135,10885,23001,80344,54014,89891,8439,1477,55250,9723,1762,256364,121441,9948,57521,9184,56995,22898,29919,3993,10507,57715,27072,54461,84942,57539,80335,9013,987,23105,1130,89849,5928,57599,49856,9639,26100,115825,84321,10238,6272,146845,114987,79269,10607,80031,23046,149465,7011,57556,8482,10681,120892,29062,57175,55234,59345,26094,161436,55558,55062,54584,2782,51343,10517,54806,9742,284434,284403,254065,79819,9515	WRAP53,WDR3,WDFY3,DCAF11,BRWD1,WDR34,NSMAF,CSTF1,ELP2,SEMA3E,DMWD,EML3,NEDD1,WDR1,RPTOR,BUB3,TULP4,DENND3,C18orf8,LLGL2,SEMA4D,SEMA4G,VPS41,FBXW5,WDR73,WDR35,WDR82,TAF1C,LRBA,FSTL4,LYST,ATG16L2,RBBP4,WDR48,WRAP73,ARHGEF10,WIPI2,WDFY2,THOC3,DCAF7,SORT1,CFAP52,WDR31,DCAF10,TBL3,SEMA6D,KIF21B,CFAP57,TEP1,SEMA6A,SEMA7A,GNB5,LRRK2,WDR91,CORO1B,SMU1,GNB4,DCAF4,EML5,PLXNA3,WIPI1,GNB1L,GNB1,FZR1,FBXW10,AHI1,IFT140,NWD1,WDR62,BRWD3,WDR78,STXBP5L
IPR017986	WD40_repeat_dom	0.00246764738721415	-6.00449005704671	298	65	0.0226796929518493	2866	18428	23450,10885,55135,23001,80344,54014,89891,8439,1477,55250,256364,1762,121441,9948,57521,9184,56995,22898,29919,3993,79705,27072,54461,84942,57539,80335,9013,987,1130,89849,57599,5928,9639,26100,115825,84321,10238,146845,114987,79269,10607,23046,149465,7011,120892,10681,29062,57175,55234,59345,161436,26094,55062,2782,54584,10517,51343,9742,54806,284434,284403,23339,254065,79819,9515	SF3B3,WDR3,WRAP53,WDFY3,DCAF11,BRWD1,WDR34,NSMAF,CSTF1,ELP2,EML3,DMWD,NEDD1,WDR1,RPTOR,BUB3,TULP4,DENND3,C18orf8,LLGL2,LRRK1,VPS41,FBXW5,WDR73,WDR35,WDR82,TAF1C,LRBA,LYST,ATG16L2,WDR48,RBBP4,ARHGEF10,WIPI2,WDFY2,THOC3,DCAF7,CFAP52,WDR31,DCAF10,TBL3,KIF21B,CFAP57,TEP1,LRRK2,GNB5,WDR91,CORO1B,SMU1,GNB4,EML5,DCAF4,WIPI1,GNB1,GNB1L,FBXW10,FZR1,IFT140,AHI1,NWD1,WDR62,VPS39,BRWD3,WDR78,STXBP5L
IPR004481	K/Na/Ca-exchanger	0.00255718807366069	-5.96884703290993	5	4	0.00139567341242149	2866	18428	123041,283652,9187,25769	SLC24A4,SLC24A5,SLC24A1,SLC24A2
